query,date,rank
tested,2018-01-02,3842.5
tested,2018-01-03,8995.5
tested,2018-01-04,8333.5
tested,2018-01-05,9836
tested,2018-01-06,11558
tested,2018-01-07,12336
tested,2018-01-08,9261.5
tested,2018-01-09,10289
tested,2018-01-10,11248.5
tested,2018-01-11,13189
tested,2018-01-12,11168.5
tested,2018-01-13,6721
tested,2018-01-14,10126.5
tested,2018-01-15,12915
tested,2018-01-16,10499
tested,2018-01-17,11225.5
tested,2018-01-18,11224.5
tested,2018-01-19,11895
tested,2018-01-20,14250.5
tested,2018-01-21,16211.5
tested,2018-01-22,14352.5
tested,2018-01-23,12554
tested,2018-01-24,13033
tested,2018-01-25,10532
tested,2018-01-26,12420.5
tested,2018-01-27,14819
tested,2018-01-28,15247.5
tested,2018-01-29,13437.5
tested,2018-01-30,10214
tested,2018-01-31,12257
tested,2018-02-01,13550.5
tested,2018-02-02,12077.5
tested,2018-02-03,14115.5
tested,2018-02-04,15568.5
tested,2018-02-05,12101.5
tested,2018-02-06,10061.5
tested,2018-02-07,10920.5
tested,2018-02-08,13185
tested,2018-02-09,12436.5
tested,2018-02-10,13148.5
tested,2018-02-11,14149
tested,2018-02-12,12883
tested,2018-02-13,10767
tested,2018-02-14,3999.5
tested,2018-02-15,4500.5
tested,2018-02-16,9407
tested,2018-02-17,10929
tested,2018-02-18,9603.5
tested,2018-02-19,11956.5
tested,2018-02-20,12098.5
tested,2018-02-21,12136
tested,2018-02-22,10504.5
tested,2018-02-23,9609
tested,2018-02-24,11895
tested,2018-02-25,11234.5
tested,2018-02-26,9304.5
tested,2018-02-27,11223.5
tested,2018-02-28,4854
tested,2018-03-01,6056.5
tested,2018-03-02,10779.5
tested,2018-03-03,10985
tested,2018-03-04,10665
tested,2018-03-05,7530.5
tested,2018-03-06,10679
tested,2018-03-07,10738.5
tested,2018-03-08,11661.5
tested,2018-03-09,13058
tested,2018-03-10,12062
tested,2018-03-11,11600.5
tested,2018-03-12,10252
tested,2018-03-13,10759.5
tested,2018-03-14,9888
tested,2018-03-15,9503.5
tested,2018-03-16,10140
tested,2018-03-17,9997
tested,2018-03-18,8185
tested,2018-03-19,7942.5
tested,2018-03-20,4185.5
tested,2018-03-21,6321
tested,2018-03-22,7363
tested,2018-03-23,9976
tested,2018-03-24,12129
tested,2018-03-25,11619
tested,2018-03-26,9661
tested,2018-03-27,9895
tested,2018-03-28,12218
tested,2018-03-29,4552.5
tested,2018-03-30,10172.5
tested,2018-03-31,12717
tested,2018-04-01,12950.5
tested,2018-04-02,11929
tested,2018-04-03,10570.5
tested,2018-04-04,10823
tested,2018-04-05,11076.5
tested,2018-04-06,9396
tested,2018-04-07,10439
tested,2018-04-08,12121.5
tested,2018-04-09,11876
tested,2018-04-10,10519
tested,2018-04-11,9543
tested,2018-04-12,4005
tested,2018-04-13,4292
tested,2018-04-14,10610
tested,2018-04-15,12089.5
tested,2018-04-16,10514.5
tested,2018-04-17,10895.5
tested,2018-04-18,11021.5
tested,2018-04-19,9608
tested,2018-04-20,10006.5
tested,2018-04-21,11840.5
tested,2018-04-22,10931
tested,2018-04-23,11291.5
tested,2018-04-24,8331
tested,2018-04-25,8746.5
tested,2018-04-26,9664.5
tested,2018-04-27,11351.5
tested,2018-04-28,11864.5
tested,2018-04-29,11621.5
tested,2018-04-30,8523
tested,2018-05-01,8365.5
tested,2018-05-02,11350.5
tested,2018-05-03,9953.5
tested,2018-05-04,10437
tested,2018-05-05,10105
tested,2018-05-06,12738
tested,2018-05-07,11441.5
tested,2018-05-08,10731
tested,2018-05-09,9644
tested,2018-05-10,12552.5
tested,2018-05-11,12036.5
tested,2018-05-12,13887
tested,2018-05-13,14759
tested,2018-05-14,13128.5
tested,2018-05-15,9029.5
tested,2018-05-16,12146.5
tested,2018-05-17,11396.5
tested,2018-05-18,7976
tested,2018-05-19,10297
tested,2018-05-20,15042
tested,2018-05-21,8520.5
tested,2018-05-22,6730
tested,2018-05-23,9487
tested,2018-05-24,3438
tested,2018-05-25,4730
tested,2018-05-26,7192.5
tested,2018-05-27,8708
tested,2018-05-28,8919
tested,2018-05-29,12334.5
tested,2018-05-30,10996.5
tested,2018-05-31,11668
tested,2018-06-01,11035
tested,2018-06-02,9313
tested,2018-06-03,10462
tested,2018-06-04,9083.5
tested,2018-06-05,8161
tested,2018-06-06,9226.5
tested,2018-06-07,11639
tested,2018-06-08,11375.5
tested,2018-06-09,13727.5
tested,2018-06-10,13586
tested,2018-06-11,8769.5
tested,2018-06-12,8369
tested,2018-06-13,11542.5
tested,2018-06-14,12298.5
tested,2018-06-15,11784
tested,2018-06-16,13304.5
tested,2018-06-17,13978
tested,2018-06-18,13903
tested,2018-06-19,11866.5
tested,2018-06-20,8619
tested,2018-06-21,7440.5
tested,2018-06-22,11616
tested,2018-06-23,13329.5
tested,2018-06-24,13081
tested,2018-06-25,12684
tested,2018-06-26,10625.5
tested,2018-06-27,10006.5
tested,2018-06-28,10969
tested,2018-06-29,8394
tested,2018-06-30,10843
tested,2018-07-01,11705
tested,2018-07-02,11553.5
tested,2018-07-03,2124
tested,2018-07-04,2144
tested,2018-07-05,8336.5
tested,2018-07-06,10507
tested,2018-07-07,11342
tested,2018-07-08,10486
tested,2018-07-09,11036
tested,2018-07-10,11445
tested,2018-07-11,9569.5
tested,2018-07-12,4279
tested,2018-07-13,6044.5
tested,2018-07-14,9887
tested,2018-07-15,11667
tested,2018-07-16,9700
tested,2018-07-17,9666.5
tested,2018-07-18,10675.5
tested,2018-07-19,8547
tested,2018-07-20,11415
tested,2018-07-21,13157.5
tested,2018-07-22,12394.5
tested,2018-07-23,9402.5
tested,2018-07-24,5336
tested,2018-07-25,4514
tested,2018-07-26,5761
tested,2018-07-27,3249
tested,2018-07-28,4656.5
tested,2018-07-29,8987.5
tested,2018-07-30,7764.5
tested,2018-07-31,7832
tested,2018-08-01,9862.5
tested,2018-08-02,9093.5
tested,2018-08-03,10687.5
tested,2018-08-04,4514
tested,2018-08-05,12359
tested,2018-08-06,7494
tested,2018-08-07,3709
tested,2018-08-08,7355.5
tested,2018-08-09,5599
tested,2018-08-10,8398
tested,2018-08-11,12684
tested,2018-08-12,4579
tested,2018-08-13,12174
tested,2018-08-14,11375
tested,2018-08-15,9395.5
tested,2018-08-16,9620.5
tested,2018-08-17,12330
tested,2018-08-18,12185.5
tested,2018-08-19,11382.5
tested,2018-08-20,11441.5
tested,2018-08-21,10992
tested,2018-08-22,9153.5
tested,2018-08-23,8452
tested,2018-08-24,9914.5
tested,2018-08-25,7976.5
tested,2018-08-26,7618
tested,2018-08-27,8113.5
tested,2018-08-28,9398.5
tested,2018-08-29,1837
tested,2018-08-30,2349
tested,2018-08-31,4990
tested,2018-09-01,9589.5
tested,2018-09-02,10274
tested,2018-09-03,11537.5
tested,2018-09-04,10568.5
tested,2018-09-05,8913
tested,2018-09-06,8788
tested,2018-09-07,4389
tested,2018-09-08,7800
tested,2018-09-09,7242.5
tested,2018-09-10,7182.5
tested,2018-09-11,1948
tested,2018-09-12,6175
tested,2018-09-13,10197.5
tested,2018-09-14,10506
tested,2018-09-15,7538.5
tested,2018-09-16,6690.5
tested,2018-09-17,5901
tested,2018-09-18,9647
tested,2018-09-19,10071.5
tested,2018-09-20,6494.5
tested,2018-09-21,9903.5
tested,2018-09-22,11369
tested,2018-09-23,12287.5
tested,2018-09-24,11570
tested,2018-09-25,9665.5
tested,2018-09-26,8541.5
tested,2018-09-27,9677.5
tested,2018-09-28,9748
tested,2018-09-29,9674
tested,2018-09-30,12692.5
tested,2018-10-01,7590
tested,2018-10-02,6274.5
tested,2018-10-03,6899.5
tested,2018-10-04,10092
tested,2018-10-05,10571.5
tested,2018-10-06,11442
tested,2018-10-07,13242.5
tested,2018-10-08,6577.5
tested,2018-10-09,9621.5
tested,2018-10-10,10701
tested,2018-10-11,9560
tested,2018-10-12,9884
tested,2018-10-13,7466
tested,2018-10-14,11371
tested,2018-10-15,10235
tested,2018-10-16,11054
tested,2018-10-17,10731
tested,2018-10-18,11408
tested,2018-10-19,12551.5
tested,2018-10-20,12018
tested,2018-10-21,11588.5
tested,2018-10-22,9185.5
tested,2018-10-23,9719
tested,2018-10-24,12082
tested,2018-10-25,8807
tested,2018-10-26,9416
tested,2018-10-27,12052.5
tested,2018-10-28,11348
tested,2018-10-29,11779
tested,2018-10-30,9407.5
tested,2018-10-31,13455
tested,2018-11-01,12009
tested,2018-11-02,4446.5
tested,2018-11-03,3585
tested,2018-11-04,12809
tested,2018-11-05,10594.5
tested,2018-11-06,12376.5
tested,2018-11-07,13529.5
tested,2018-11-08,13586
tested,2018-11-09,11073
tested,2018-11-10,13146.5
tested,2018-11-11,10935.5
tested,2018-11-12,11291
