query,date,rank
home gym,2018-01-01,838714.5
home gym,2018-01-02,895046.5
home gym,2018-01-03,1000000
home gym,2018-01-04,1000000
home gym,2018-01-05,768854.5
home gym,2018-01-06,1000000
home gym,2018-01-07,1000000
home gym,2018-01-08,1000000
home gym,2018-01-09,772324
home gym,2018-01-10,1000000
home gym,2018-01-11,1000000
home gym,2018-01-12,883292.5
home gym,2018-01-13,1000000
home gym,2018-01-14,1000000
home gym,2018-01-15,790078.5
home gym,2018-01-16,1000000
home gym,2018-01-17,1000000
home gym,2018-01-18,1000000
home gym,2018-01-19,1000000
home gym,2018-01-20,1000000
home gym,2018-01-21,1000000
home gym,2018-01-22,1000000
home gym,2018-01-23,1000000
home gym,2018-01-24,901086
home gym,2018-01-25,1000000
home gym,2018-01-26,1000000
home gym,2018-01-27,776479
home gym,2018-01-28,841293
home gym,2018-01-29,1000000
home gym,2018-01-30,811019.5
home gym,2018-01-31,1000000
home gym,2018-02-01,689419.5
home gym,2018-02-02,636703
home gym,2018-02-03,932428.5
home gym,2018-02-04,1000000
home gym,2018-02-05,1000000
home gym,2018-02-06,121348
home gym,2018-02-07,280793
home gym,2018-02-08,664637
home gym,2018-02-09,515684
home gym,2018-02-10,664942.5
home gym,2018-02-11,1000000
home gym,2018-02-12,1000000
home gym,2018-02-13,1000000
home gym,2018-02-14,1000000
home gym,2018-02-15,1000000
home gym,2018-02-16,1000000
home gym,2018-02-17,1000000
home gym,2018-02-18,1000000
home gym,2018-02-19,1000000
home gym,2018-02-20,1000000
home gym,2018-02-21,1000000
home gym,2018-02-22,1000000
home gym,2018-02-23,923580
home gym,2018-02-24,1000000
home gym,2018-02-25,719369
home gym,2018-02-26,862003.5
home gym,2018-02-27,592032.5
home gym,2018-02-28,891999.5
home gym,2018-03-01,1000000
home gym,2018-03-02,1000000
home gym,2018-03-03,1000000
home gym,2018-03-04,1000000
home gym,2018-03-05,1000000
home gym,2018-03-06,1000000
home gym,2018-03-07,1000000
home gym,2018-03-08,1000000
home gym,2018-03-09,1000000
home gym,2018-03-10,1000000
home gym,2018-03-11,1000000
home gym,2018-03-12,1000000
home gym,2018-03-13,1000000
home gym,2018-03-14,1000000
home gym,2018-03-15,1000000
home gym,2018-03-16,1000000
home gym,2018-03-17,1000000
home gym,2018-03-18,1000000
home gym,2018-03-19,1000000
home gym,2018-03-20,1000000
home gym,2018-03-21,606235.5
home gym,2018-03-22,835521
home gym,2018-03-23,1000000
home gym,2018-03-24,1000000
home gym,2018-03-25,1000000
home gym,2018-03-26,1000000
home gym,2018-03-27,1000000
home gym,2018-03-28,1000000
home gym,2018-03-29,980279
home gym,2018-03-30,1000000
home gym,2018-03-31,1000000
home gym,2018-04-01,1000000
home gym,2018-04-02,1000000
home gym,2018-04-03,1000000
home gym,2018-04-04,1000000
home gym,2018-04-05,1000000
home gym,2018-04-06,1000000
home gym,2018-04-07,1000000
home gym,2018-04-08,1000000
home gym,2018-04-09,1000000
home gym,2018-04-10,1000000
home gym,2018-04-11,1000000
home gym,2018-04-12,1000000
home gym,2018-04-13,1000000
home gym,2018-04-14,344069
home gym,2018-04-15,789419
home gym,2018-04-16,922962
home gym,2018-04-17,1000000
home gym,2018-04-18,1000000
home gym,2018-04-19,1000000
home gym,2018-04-20,1000000
home gym,2018-04-21,1000000
home gym,2018-04-22,1000000
home gym,2018-04-23,1000000
home gym,2018-04-24,1000000
home gym,2018-04-25,1000000
home gym,2018-04-26,1000000
home gym,2018-04-27,1000000
home gym,2018-04-28,1000000
home gym,2018-04-29,1000000
home gym,2018-04-30,1000000
home gym,2018-05-01,1000000
home gym,2018-05-02,1000000
home gym,2018-05-03,1000000
home gym,2018-05-04,1000000
home gym,2018-05-05,1000000
home gym,2018-05-06,1000000
home gym,2018-05-07,1000000
home gym,2018-05-08,1000000
home gym,2018-05-09,1000000
home gym,2018-05-10,1000000
home gym,2018-05-11,784156.5
home gym,2018-05-12,1000000
home gym,2018-05-13,1000000
home gym,2018-05-14,1000000
home gym,2018-05-15,1000000
home gym,2018-05-16,332741
home gym,2018-05-17,629316
home gym,2018-05-18,1000000
home gym,2018-05-19,1000000
home gym,2018-05-20,1000000
home gym,2018-05-21,1000000
home gym,2018-05-22,1000000
home gym,2018-05-23,1000000
home gym,2018-05-24,1000000
home gym,2018-05-25,1000000
home gym,2018-05-26,1000000
home gym,2018-05-27,1000000
home gym,2018-05-28,1000000
home gym,2018-05-29,1000000
home gym,2018-05-30,1000000
home gym,2018-05-31,800097
home gym,2018-06-01,670888
home gym,2018-06-02,1000000
home gym,2018-06-03,1000000
home gym,2018-06-04,1000000
home gym,2018-06-05,1000000
home gym,2018-06-06,1000000
home gym,2018-06-07,1000000
home gym,2018-06-08,1000000
home gym,2018-06-09,1000000
home gym,2018-06-10,1000000
home gym,2018-06-11,1000000
home gym,2018-06-12,1000000
home gym,2018-06-13,1000000
home gym,2018-06-14,1000000
home gym,2018-06-15,1000000
home gym,2018-06-16,1000000
home gym,2018-06-17,1000000
home gym,2018-06-18,1000000
home gym,2018-06-19,1000000
home gym,2018-06-20,1000000
home gym,2018-06-21,1000000
home gym,2018-06-22,1000000
home gym,2018-06-23,1000000
home gym,2018-06-24,1000000
home gym,2018-06-25,1000000
home gym,2018-06-26,1000000
home gym,2018-06-27,1000000
home gym,2018-06-28,986706.5
home gym,2018-06-29,1000000
home gym,2018-06-30,1000000
home gym,2018-07-01,1000000
home gym,2018-07-02,1000000
home gym,2018-07-03,1000000
home gym,2018-07-04,1000000
home gym,2018-07-05,1000000
home gym,2018-07-06,1000000
home gym,2018-07-07,1000000
home gym,2018-07-08,1000000
home gym,2018-07-09,939595
home gym,2018-07-10,937316
home gym,2018-07-11,1000000
home gym,2018-07-12,1000000
home gym,2018-07-13,1000000
home gym,2018-07-14,1000000
home gym,2018-07-15,1000000
home gym,2018-07-16,1000000
home gym,2018-07-17,1000000
home gym,2018-07-18,712033
home gym,2018-07-19,808283
home gym,2018-07-20,1000000
home gym,2018-07-21,1000000
home gym,2018-07-22,1000000
home gym,2018-07-23,1000000
home gym,2018-07-24,1000000
home gym,2018-07-25,1000000
home gym,2018-07-26,1000000
home gym,2018-07-27,1000000
home gym,2018-07-28,1000000
home gym,2018-07-29,1000000
home gym,2018-07-30,1000000
home gym,2018-07-31,947530.5
home gym,2018-08-01,1000000
home gym,2018-08-02,1000000
home gym,2018-08-03,1000000
home gym,2018-08-04,1000000
home gym,2018-08-05,1000000
home gym,2018-08-06,1000000
home gym,2018-08-07,1000000
home gym,2018-08-08,1000000
home gym,2018-08-09,1000000
home gym,2018-08-10,1000000
home gym,2018-08-11,1000000
home gym,2018-08-12,1000000
home gym,2018-08-13,1000000
home gym,2018-08-14,1000000
home gym,2018-08-15,1000000
home gym,2018-08-16,921740.5
home gym,2018-08-17,1000000
home gym,2018-08-18,1000000
home gym,2018-08-19,1000000
home gym,2018-08-20,1000000
home gym,2018-08-21,739500
home gym,2018-08-22,1000000
home gym,2018-08-23,1000000
home gym,2018-08-24,1000000
home gym,2018-08-25,1000000
home gym,2018-08-26,1000000
home gym,2018-08-27,1000000
home gym,2018-08-28,1000000
home gym,2018-08-29,1000000
home gym,2018-08-30,907057.5
home gym,2018-08-31,1000000
home gym,2018-09-01,1000000
home gym,2018-09-02,1000000
home gym,2018-09-03,1000000
home gym,2018-09-04,1000000
home gym,2018-09-05,1000000
home gym,2018-09-06,901762
home gym,2018-09-07,446659.5
home gym,2018-09-08,140667
home gym,2018-09-09,552479
home gym,2018-09-10,1000000
home gym,2018-09-11,1000000
home gym,2018-09-12,1000000
home gym,2018-09-13,1000000
home gym,2018-09-14,1000000
home gym,2018-09-15,1000000
home gym,2018-09-16,1000000
home gym,2018-09-17,1000000
home gym,2018-09-18,1000000
home gym,2018-09-19,1000000
home gym,2018-09-20,1000000
home gym,2018-09-21,1000000
home gym,2018-09-22,1000000
home gym,2018-09-23,1000000
home gym,2018-09-24,1000000
home gym,2018-09-25,1000000
home gym,2018-09-26,1000000
home gym,2018-09-27,1000000
home gym,2018-09-28,1000000
home gym,2018-09-29,1000000
